Sel;ID;Cat;Subcat;Nome;Len;Prezzo;Iva;"Dispo gg.";"In Ordine";Insert;Uscita;Promo_Cod;Promo_Desc;Promo_Scad;Link;NuovaDescrizione
;253678;;Abbigliamento;"ABYSTYLE One Piece Calzini Skull One Size (38-43) nero, 70% cotone, 27% poliestere, 3% elastan.";95;10,96;22;5;;2025-03-06;2025-03-06;;;;;;"Calzini One Piece Skull ABYSTYLE, taglia unica 38-43, nero, cotone 70%."
;253647;Fotografia;"Accessori Fotografici";"NiSi Wizard W-63 Compatibile con Sony | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione a 0°, 90° e";130;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi Wizard W-63 Sony, staffa rot. orizz/vert, compat Arca-Swiss, rotazioni 0°/90°."
;253625;Fotografia;"Accessori Fotografici";"NiSi Wizard W-72 Compatibile con Fujifilm, Nikon Z, Panasonic S5, Leica SL/SL2 | Staffa di rotazione orizzontale/verticale, Arca";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi W-72 per Fujifilm, Nikon Z, Pansonic S5, Leica SL/SL2 | Staffa rot. Oriz/Vert"
;253626;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82D Compatibile con fotocamere DSLR | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, rotazione";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"Staffa NiSi W-82D, rotazione orizz/vert, compatibile Arca-Swiss, per DSLR."
;253621;Fotografia;"Accessori Fotografici";"NiSi Wizard W-82M Compatibile con fotocamere Canon serie R | Staffa di rotazione orizzontale/verticale, Arca-Swiss compatibile, ";128;84,99;22;5;;2025-03-05;2025-03-05;;;;;;"NiSi Wizard W-82M per Canon R, staffa rotaz. orizz/vert, compatibile Arca."
;253545;Fotografia;"Adattatori e portafiltri";"NiSi Anello adattatore S6 per filettature di filtri standard (adattatori da 105 mm, 95 mm, 82 mm inclusi) | Adattatore per obiet";128;149,00;22;5;;2025-02-26;2025-02-26;;;;;;"Adattatore NiSi S6 per filtri standard (105, 95, 82 mm inclusi)"
;253498;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 62mm-82MAG Adattatore obiettivo filettatura 62 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;;"Adattatore NiSi JetMag Pro 62→82MAG per filtri magnetici."
;253499;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 67mm-82MAG Adattatore obiettivo filettatura 67 mm per collegare filtri magnetici 82MAG";102;19,90;22;5;;2025-02-24;2025-02-24;;;;;;"NiSi JetMag Pro 67mm-82MAG: adattatore per filtri magnetici 82MAG."
;253494;Fotografia;"Adattatori e portafiltri";"NiSi JetMag Pro 82mm-82MAG Anello Adattatore obiettivo filettatura 82 mm per collegare filtri magnetici 82MAG";109;19,90;22;0;;2025-02-24;2025-02-24;;;;;;"Anello NiSi JetMag Pro 82mm per filtri magnetici 82MAG."
;253573;Fotografia;"Adattatori e portafiltri";"NiSi Kit Advanced 150 di Filtri da 150mm (no Holder, include 4 filtri di larghezza 150mm)";89;629,00;22;5;;2025-02-28;2025-02-28;;;;;;"NiSi Kit Avanz. 150mm (senza Holder), 4 filtri da 150mm inclusi."
;253508;Fotografia;"Adattatori e portafiltri";"NiSi Kit portafiltro V7 da 100 mm con True Color CPL, con anello adattatore da 67-82 mm, 72-82 mm e 77-82 mm";108;249,00;22;5;;2025-02-25;2025-02-25;;;;;;"NiSi Kit filtro V7 100mm + CPL True Color con adattatori 67-82, 72-82, 77-82mm"
;253879;Fotografia;"Adattatori e portafiltri";"NiSi Kit Starter 150 di Filtri da 150mm (no Holder, include 3 filtri di larghezza 150mm)";88;479,00;22;0;;2025-03-14;2025-03-14;;;;;;"NiSi Kit Starter 150: 3 filtri 150mm, senza holder, confezione semplice."
